title,author,avg_rating,rating_count,year_published,genre
The Handmaid's Tale: The Seminal Work of Dystopian Feminist Fiction (Hardcover),Margaret Atwood,4.15,"2,374,513",1985,adult
Daisy Jones & The Six (Hardcover),Taylor Jenkins Reid,4.20,"1,816,617",2019,adult
The Night Circus (Hardcover),Erin Morgenstern,4.00,"1,084,644",2011,adult
The Love Hypothesis (Paperback),Ali Hazelwood,4.10,"1,813,067",2021,adult
The Midnight Library (Hardcover),Matt Haig,3.98,"2,375,186",2020,adult
Pride and Prejudice (Hardcover),Jane Austen,4.29,"4,721,828",1813,adult
Circe (Hardcover),Madeline Miller,4.22,"1,316,399",2018,adult
Book Lovers (Paperback),Emily Henry,4.10,"1,508,744",2022,adult
"Vicious (Villains, #1)",V.E. Schwab,4.19,"314,012",2013,adult
The Girl on the Train (Hardcover),Paula Hawkins,3.96,"3,247,127",2015,adult
People We Meet on Vacation (Paperback),Emily Henry,3.84,"1,569,343",2021,adult
"The Kiss Quotient (The Kiss Quotient, #1)",Helen  Hoang,3.87,"492,389",2018,adult
The Hating Game (Paperback),Sally  Thorne,3.86,"818,686",2016,adult
"Ninth House (Alex Stern, #1)",Leigh Bardugo,4.00,"392,388",2019,adult
"Me Before You (Me Before You, #1)",Jojo Moyes,4.26,"1,782,082",2012,adult
Where the Crawdads Sing (ebook),Delia Owens,4.37,"3,551,442",2018,adult
1984 (Paperback),George Orwell,4.20,"5,346,448",1949,adult
The Help (Hardcover),Kathryn Stockett,4.47,"2,990,420",2009,adult
The Great Gatsby (Paperback),F. Scott Fitzgerald,3.93,"5,821,418",1925,adult
"The Poppy War (The Poppy War, #1)",R.F. Kuang,4.17,"456,056",2018,adult
All the Light We Cannot See (Hardcover),Anthony Doerr,4.31,"1,940,007",2014,adult
"Fourth Wing (The Empyrean, #1)",Rebecca Yarros,4.57,"3,341,877",2023,adult
"It Ends with Us (It Ends with Us, #1)",Colleen Hoover,4.09,"4,506,177",2016,adult
"Fifty Shades Darker (Fifty Shades, #2)",E.L. James,3.83,"968,652",2011,adult
The Martian (Hardcover),Andy Weir,4.42,"1,264,123",2011,adult
The Song of Achilles (Paperback),Madeline Miller,4.31,"1,927,754",2011,adult
"Outlander (Outlander, #1)",Diana Gabaldon,4.26,"1,142,939",1991,adult
"The Unhoneymooners (Unhoneymooners, #1)",Christina Lauren,3.90,"1,097,639",2019,adult
"The House in the Cerulean Sea (Cerulean Chronicles, #1)",T.J. Klune,4.37,"920,998",2020,adult
"Mistborn: The Final Empire (Mistborn, #1)",Brandon Sanderson,4.49,"937,854",2006,adult
The Silent Patient (Hardcover),Alex Michaelides,4.17,"3,129,741",2019,adult
"A Darker Shade of Magic (Shades of Magic, #1)",V.E. Schwab,4.04,"424,415",2015,adult
"House of Earth and Blood (Crescent City, #1)",Sarah J. Maas,4.45,"1,081,672",2020,adult
Little Fires Everywhere (Hardcover),Celeste Ng,4.07,"1,298,676",2017,adult
Verity (ebook),Colleen Hoover,4.30,"3,670,080",2018,adult
"Red, White & Royal Blue (Paperback)",Casey McQuiston,4.05,"1,203,764",2019,adult
"The Girl With the Dragon Tattoo (Millennium, #1)",Stieg Larsson,4.17,"3,414,378",2005,adult
"Fifty Shades Freed (Fifty Shades, #3)",E.L. James,3.83,"907,973",2012,adult
The Secret History (Paperback),Donna Tartt,4.16,"992,240",1992,adult
Happy Place (Hardcover),Emily Henry,3.95,"1,378,897",2023,adult
"The Da Vinci Code (Robert Langdon, #2)",Dan    Brown,3.93,"2,500,809",2003,adult
A Man Called Ove (Hardcover),Fredrik Backman,4.38,"1,190,160",2012,adult
Eleanor Oliphant Is Completely Fine (Paperback),Gail Honeyman,4.23,"1,400,788",2017,adult
Yellowface (Paperback),R.F. Kuang,3.73,"976,144",2023,adult
,,,,,adult
,,,,,adult
The Song of Achilles (Paperback),Madeline Miller,4.31,"1,927,754",2011,lgbt
"Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante, #1)",Benjamin Alire Sáenz,4.29,"670,068",2012,lgbt
"Red, White & Royal Blue (Paperback)",Casey McQuiston,4.05,"1,203,764",2019,lgbt
The Seven Husbands of Evelyn Hugo (Hardcover),Taylor Jenkins Reid,4.40,"3,970,874",2017,lgbt
"Simon vs. the Homo Sapiens Agenda (Simonverse, #1)",Becky Albertalli,4.13,"464,772",2015,lgbt
"Heartstopper: Volume One (Heartstopper, #1)",Alice Oseman,4.42,"869,504",2018,lgbt
"Carry On (Simon Snow, #1)",Rainbow Rowell,4.16,"331,980",2015,lgbt
"Heartstopper: Volume Two (Heartstopper, #2)",Alice Oseman,4.51,"562,844",2019,lgbt
"The House in the Cerulean Sea (Cerulean Chronicles, #1)",T.J. Klune,4.37,"920,998",2020,lgbt
"They Both Die at the End (They Both Die at the End, #1)",Adam Silvera,3.75,"854,835",2017,lgbt
"Call Me By Your Name (Call Me By Your Name, #1)",André Aciman,4.10,"585,463",2007,lgbt
"Heartstopper: Volume Three (Heartstopper, #3)",Alice Oseman,4.54,"493,224",2020,lgbt
"The Gentleman's Guide to Vice and Virtue (Montague Siblings, #1)",Mackenzi Lee,4.02,"145,059",2017,lgbt
One Last Stop (Paperback),Casey McQuiston,3.89,"281,366",2021,lgbt
"Heartstopper: Volume Four (Heartstopper, #4)",Alice Oseman,4.58,"436,771",2021,lgbt
This Is How You Lose the Time War (ebook),Amal El-Mohtar,3.85,"322,393",2019,lgbt
"What If It's Us (What If It's Us, #1)",Becky Albertalli,3.80,"167,519",2018,lgbt
Giovanni’s Room (Paperback),James Baldwin,4.34,"240,528",1956,lgbt
"Will Grayson, Will Grayson (Hardcover)",John Green,3.69,"411,037",2010,lgbt
"Cemetery Boys (Cemetery Boys, #1)",Aiden Thomas,4.24,"107,201",2020,lgbt
I'll Give You the Sun (Hardcover),Jandy Nelson,4.15,"355,820",2014,lgbt
"The Priory of the Orange Tree (The Roots of Chaos, #1)",Samantha Shannon,4.17,"271,355",2019,lgbt
"Gideon the Ninth (The Locked Tomb, #1)",Tamsyn Muir,4.19,"178,336",2019,lgbt
"Captive Prince (Captive Prince, #1)",C.S. Pacat,3.78,"120,319",2013,lgbt
"Boyfriend Material (London Calling, #1)",Alexis  Hall,3.98,"153,331",2020,lgbt
The Miseducation of Cameron Post (Kindle Edition),Emily M. Danforth,4.06,"59,522",2012,lgbt
A Little Life (Hardcover),Hanya Yanagihara,4.28,"897,106",2015,lgbt
Fun Home: A Family Tragicomic (Paperback),Alison Bechdel,4.07,"199,947",2006,lgbt
Last Night at the Telegraph Club (Hardcover),Malinda Lo,4.20,"114,875",2021,lgbt
Fingersmith (ebook),Sarah Waters,4.02,"117,157",2002,lgbt
The Price of Salt (Paperback),Claire  Morgan,,,,lgbt
"Six of Crows (Six of Crows, #1)",Leigh Bardugo,4.46,"1,130,045",2015,lgbt
On Earth We're Briefly Gorgeous (Hardcover),Ocean Vuong,4.02,"390,909",2019,lgbt
We Are Okay (Hardcover),Nina LaCour,3.93,"99,914",2017,lgbt
"Leah on the Offbeat (Simonverse, #3)",Becky Albertalli,3.79,"77,052",2018,lgbt
The Perks of Being a Wallflower (Hardcover),Stephen Chbosky,4.24,"1,974,996",1999,lgbt
Annie on My Mind (Mass Market Paperback),Nancy Garden,4.02,"55,614",1982,lgbt
History Is All You Left Me (ebook),Adam Silvera,3.91,"78,629",2017,lgbt
More Happy Than Not (Hardcover),Adam Silvera,3.95,"67,965",2015,lgbt
The Prince and the Dressmaker (Paperback),Jen Wang,4.33,"121,079",2018,lgbt
"Wayward Son (Simon Snow, #2)",Rainbow Rowell,3.90,"115,700",2019,lgbt
Maurice (Paperback),E.M. Forster,4.08,"56,936",1971,lgbt
Tipping the Velvet (Paperback),Sarah Waters,4.05,"77,532",1998,lgbt
"Legends & Lattes (Legends & Lattes, #1)",Travis Baldree,4.05,"314,820",2022,lgbt
Under the Whispering Door (Hardcover),T.J. Klune,4.11,"312,948",2021,lgbt
"Crooked Kingdom (Six of Crows, #2)",Leigh Bardugo,4.57,"755,650",2016,lgbt
Boy Meets Boy (Paperback),David Levithan,3.81,"76,309",2003,lgbt
Radio Silence (Paperback),Alice Oseman,4.17,"127,355",2016,lgbt
"I Wish You All the Best (I Wish You All the Best, #1)",Mason Deaver,4.15,"54,225",2019,lgbt
Autoboyography (Hardcover),Christina Lauren,4.10,"61,068",2017,lgbt
,,,,,lgbt
,,,,,lgbt
"Haunting Adeline (Cat and Mouse, #1)",H.D. Carlton,3.94,"845,318",2021,dark-romance
"Hunting Adeline (Cat and Mouse, #2)",H.D. Carlton,4.07,"572,302",2022,dark-romance
"Corrupt (Devil's Night, #1)",Penelope Douglas,3.78,"414,026",2015,dark-romance
"Lights Out (Into Darkness, #1)",Navessa Allen,4.11,"521,178",2024,dark-romance
"Butcher & Blackbird (The Ruinous Love Trilogy, #1)",Brynne Weaver,4.01,"581,673",2023,dark-romance
"The Ritual (L.O.R.D.S., #1)",Shantel Tessier,4.05,"334,518",2021,dark-romance
"Hooked (Never After, #1)",Emily McIntire,3.77,"494,675",2021,dark-romance
"God of Malice (Legacy of Gods, #1)",Rina Kent,3.92,"240,829",2022,dark-romance
Does It Hurt? (Kindle Edition),H.D. Carlton,3.89,"253,756",2022,dark-romance
"The Sweetest Oblivion (Made, #1)",Danielle Lori,4.01,"360,258",2018,dark-romance
"The Predator (Dark Verse, #1)",RuNyx,3.98,"134,438",2020,dark-romance
"Kill Switch (Devil's Night, #3)",Penelope Douglas,4.30,"177,736",2019,dark-romance
"Hideaway (Devil's Night, #2)",Penelope Douglas,4.00,"206,114",2017,dark-romance
"God of Wrath (Legacy of Gods, #3)",Rina Kent,4.17,"149,508",2022,dark-romance
"Her Soul to Take (Souls Trilogy, #1)",Harley Laroux,4.04,"142,650",2021,dark-romance
"The Risk (Mindf*ck, #1)",S.T. Abby,4.25,"357,224",2016,dark-romance
"There Are No Saints (Sinners, #1)",Sophie Lark,3.79,"116,754",2021,dark-romance
"Little Stranger (The Web of Silence Duet, #1)",Leigh Rivers,3.75,"154,832",2023,dark-romance
"God of Pain (Legacy of Gods, #2)",Rina Kent,3.88,"146,266",2022,dark-romance
"The Maddest Obsession (Made, #2)",Danielle Lori,4.24,"227,007",2019,dark-romance
Still Beating (ebook),Jennifer Hartmann,4.20,"223,256",2020,dark-romance
Den of Vipers (Kindle Edition),K.A. Knight,3.66,"219,519",2020,dark-romance
"Leather & Lark (The Ruinous Love Trilogy, #2)",Brynne Weaver,4.00,"280,147",2024,dark-romance
"Nightfall (Devil's Night, #4)",Penelope Douglas,4.27,"132,074",2020,dark-romance
"The Sinner (L.O.R.D.S., #2)",Shantel Tessier,4.03,"157,833",2022,dark-romance
"Scarred (Never After, #2)",Emily McIntire,3.86,"204,904",2022,dark-romance
Credence (Paperback),Penelope Douglas,3.68,"565,586",2020,dark-romance
"God of Fury (Legacy of Gods, #5)",Rina Kent,4.50,"131,678",2023,dark-romance
"The Darkest Temptation (Made, #3)",Danielle Lori,4.03,"164,756",2020,dark-romance
"God of Ruin (Legacy of Gods, #4)",Rina Kent,4.11,"114,335",2023,dark-romance
"The Never King (Vicious Lost Boys, #1)",Nikki St. Crowe,3.67,"203,427",2022,dark-romance
"Insatiable (The Edge of Darkness, #1)",Leigh Rivers,4.23,"97,419",2023,dark-romance
"Deviant King (Royal Elite, #1)",Rina Kent,3.90,"122,022",2019,dark-romance
"The Sacrifice (L.O.R.D.S., #3)",Shantel Tessier,4.31,"130,923",2023,dark-romance
"Brutal Prince (Brutal Birthright, #1)",Sophie Lark,3.74,"194,049",2020,dark-romance
That Sik Luv (Kindle Edition),Jescie Hall,3.97,"63,707",2023,dark-romance
"Sidetracked (Mindf*ck, #2)",S.T. Abby,4.36,"313,258",2016,dark-romance
"Wretched (Never After, #3)",Emily McIntire,3.83,"142,980",2022,dark-romance
"Twisted Love (Twisted, #1)",Ana Huang,3.71,"1,561,082",2021,dark-romance
"Scarlet Angel (Mindf*ck, #3)",S.T. Abby,4.39,"298,693",2016,dark-romance
"Sinners Anonymous (Sinners Anonymous, #1)",Somme Sketcher,3.82,"97,810",2021,dark-romance
"Satan's Affair (Cat and Mouse, #0.5)",H.D. Carlton,3.71,"144,870",2021,dark-romance
"Where's Molly (Cat and Mouse, #2.5)",H.D. Carlton,4.16,"137,195",2024,dark-romance
"Paint It All Red (Mindf*ck, #5)",S.T. Abby,4.55,"297,004",2016,dark-romance
"The Reaper (Dark Verse, #2)",RuNyx,4.29,"99,328",2020,dark-romance
"All the Lies (Mindf*ck, #4)",S.T. Abby,4.51,"287,450",2016,dark-romance
Nocticadia (Kindle Edition),Keri Lake,4.20,"138,614",2023,dark-romance
"Caught Up (Into Darkness, #2)",Navessa Allen,3.79,"161,781",2025,dark-romance
"Scythe & Sparrow (The Ruinous Love Trilogy, #3)",Brynne Weaver,4.08,"173,267",2025,dark-romance
"God of War (Legacy of Gods, #6)",Rina Kent,4.08,"90,973",2024,dark-romance
,,,,,dark-romance
,,,,,dark-romance
Mere Christianity (Paperback),C.S. Lewis,4.37,"452,295",1952,christian
The Screwtape Letters (Kindle Edition),C.S. Lewis,4.27,"510,378",1942,christian
The Great Divorce (Paperback),C.S. Lewis,4.32,"179,140",1946,christian
Crazy Love: Overwhelmed by a Relentless God (Paperback),Francis Chan,4.16,"200,611",2008,christian
The Shack: Where Tragedy Confronts Eternity (Kindle Edition),William Paul Young,3.84,"687,653",2007,christian
"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,4.24,"3,106,265",1950,christian
Redeeming Love (Paperback),Francine  Rivers,4.51,"366,032",1991,christian
The Case for Christ (Mass Market Paperback),Lee Strobel,4.23,"152,136",1998,christian
The Pilgrim's Progress (Paperback),John Bunyan,4.07,"156,643",1678,christian
The Purpose Driven Life: What on Earth Am I Here for? (Paperback),Rick Warren,3.98,"290,305",2002,christian
The Hiding Place: The Triumphant True Story of Corrie Ten Boom (Mass Market Paperback),Corrie ten Boom,4.48,"352,616",1971,christian
The Problem of Pain (Paperback),C.S. Lewis,4.13,"72,218",1940,christian
Gentle and Lowly: The Heart of Christ for Sinners and Sufferers (Hardcover),Dane C. Ortlund,4.49,"59,747",2020,christian
The Reason for God: Belief in an Age of Skepticism (Hardcover),Timothy J. Keller,4.23,"74,497",2008,christian
The Four Loves (Paperback),C.S. Lewis,4.17,"66,947",1960,christian
The Pursuit of God: The Human Thirst for the Divine (Paperback),A.W. Tozer,4.38,"85,558",1948,christian
"Left Behind (Left Behind, #1)",Tim LaHaye,3.86,"245,506",1995,christian
"The Magician’s Nephew (Chronicles of Narnia, #6)",C.S. Lewis,4.05,"597,113",1955,christian
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back (Paperback),Todd Burpo,4.04,"336,230",2010,christian
Knowing God (Paperback),J.I. Packer,4.33,"63,822",1973,christian
A Grief Observed (Paperback),C.S. Lewis,4.22,"93,852",1961,christian
The Ruthless Elimination of Hurry: How to Stay Emotionally Healthy and Spiritually Alive in the Chaos of the Modern World (Hardcover),John Mark Comer,4.51,"89,596",2019,christian
"Prince Caspian (Chronicles of Narnia, #2)",C.S. Lewis,3.98,"478,719",1951,christian
"The Horse and His Boy (Chronicles of Narnia, #5)",C.S. Lewis,3.91,"386,977",1954,christian
"The Voyage of the Dawn Treader (Chronicles of Narnia, #3)",C.S. Lewis,4.09,"502,769",1952,christian
The 5 Love Languages: The Secret to Love that Lasts (Kindle Edition),Gary Chapman,4.27,"474,315",1990,christian
The Meaning of Marriage: Facing the Complexities of Commitment with the Wisdom of God (Hardcover),Timothy J. Keller,4.48,"50,037",2011,christian
Radical: Taking Back Your Faith from the American Dream (Paperback),David     Platt,4.17,"69,089",2010,christian
The Cost of Discipleship (Paperback),Dietrich Bonhoeffer,4.29,"49,612",1937,christian
"The Silver Chair (Chronicles of Narnia, #4)",C.S. Lewis,3.95,"326,621",1953,christian
"The Last Battle (Chronicles of Narnia, #7)",C.S. Lewis,4.01,"301,989",1956,christian
Love Does: Discover a Secretly Incredible Life in an Ordinary World (Paperback),Bob       Goff,4.31,"100,804",2012,christian
"A Voice in the Wind (Mark of the Lion, #1)",Francine  Rivers,4.57,"106,300",1993,christian
Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality (Paperback),Donald Miller,3.90,"118,174",2003,christian
Surprised by Joy: The Shape of My Early Life (Paperback),C.S. Lewis,4.06,"68,462",1955,christian
"This Present Darkness (Darkness, #1)",Frank E. Peretti,4.24,"114,116",1986,christian
Captivating: Unveiling the Mystery of a Woman's Soul (Hardcover),John Eldredge,3.93,"88,044",2004,christian
"Seeking Allah, Finding Jesus: A Devout Muslim Encounters Christianity (Paperback)",Nabeel Qureshi,4.58,"40,535",2014,christian
"The Chronicles of Narnia (The Chronicles of Narnia, #1-7)",C.S. Lewis,4.28,"701,493",1956,christian
Forgotten God: Reversing Our Tragic Neglect of the Holy Spirit (Paperback),Francis Chan,4.13,"53,644",2009,christian
Wild at Heart: Discovering the Secret of a Man's Soul (Kindle Edition),John Eldredge,3.95,"88,352",2001,christian
Confessions (Paperback),Augustine of Hippo,3.99,"72,874",400,christian
The Practice of the Presence of God (Paperback),Brother Lawrence,4.33,"57,056",1692,christian
The Prodigal God: Recovering the Heart of the Christian Faith (Hardcover),Timothy J. Keller,4.43,"45,388",2008,christian
The Abolition of Man (Paperback),C.S. Lewis,4.12,"39,841",1943,christian
My Utmost for His Highest (Paperback),Oswald Chambers,4.39,"83,893",1926,christian
Don't Waste Your Life (Audible Audio),John      Piper,4.14,"35,934",2003,christian
Desiring God: Meditations of a Christian Hedonist (Paperback),John      Piper,4.18,"46,792",1986,christian
The Weight of Glory (Paperback),C.S. Lewis,4.38,"25,598",1949,christian
The Holy Bible: King James Version (Hardcover),Anonymous,4.45,"313,242",1611,christian
,,,,,christian
,,,,,christian
"Haunting Adeline (Cat and Mouse, #1)",H.D. Carlton,3.94,"845,318",2021,dark
"Corrupt (Devil's Night, #1)",Penelope Douglas,3.78,"414,026",2015,dark
"Hunting Adeline (Cat and Mouse, #2)",H.D. Carlton,4.07,"572,302",2022,dark
"Butcher & Blackbird (The Ruinous Love Trilogy, #1)",Brynne Weaver,4.01,"581,673",2023,dark
"Captive in the Dark (The Dark Duet, #1)",C.J. Roberts,3.93,"74,883",2011,dark
"The Risk (Mindf*ck, #1)",S.T. Abby,4.25,"357,224",2016,dark
"The Ritual (L.O.R.D.S., #1)",Shantel Tessier,4.05,"334,518",2021,dark
"Lights Out (Into Darkness, #1)",Navessa Allen,4.11,"521,178",2024,dark
"Hooked (Never After, #1)",Emily McIntire,3.77,"494,675",2021,dark
"God of Malice (Legacy of Gods, #1)",Rina Kent,3.92,"240,829",2022,dark
"Tears of Tess (Monsters in the Dark, #1)",Pepper Winters,3.98,"42,891",2013,dark
Still Beating (ebook),Jennifer Hartmann,4.20,"223,256",2020,dark
The Elephant Tree (Paperback),R.D. Ronald,3.90,"39,600",2010,dark
"Her Soul to Take (Souls Trilogy, #1)",Harley Laroux,4.04,"142,650",2021,dark
Den of Vipers (Kindle Edition),K.A. Knight,3.66,"219,519",2020,dark
"The Predator (Dark Verse, #1)",RuNyx,3.98,"134,438",2020,dark
The Zombie Room (Kindle Edition),R.D. Ronald,3.92,"39,399",2012,dark
"Sidetracked (Mindf*ck, #2)",S.T. Abby,4.36,"313,258",2016,dark
Verity (ebook),Colleen Hoover,4.30,"3,670,080",2018,dark
"The Sweetest Oblivion (Made, #1)",Danielle Lori,4.01,"360,258",2018,dark
"Scarlet Angel (Mindf*ck, #3)",S.T. Abby,4.39,"298,693",2016,dark
Does It Hurt? (Kindle Edition),H.D. Carlton,3.89,"253,756",2022,dark
"All the Lies (Mindf*ck, #4)",S.T. Abby,4.51,"287,450",2016,dark
"Twist Me (Twist Me, #1)",Anna Zaires,3.85,"32,463",2014,dark
"Paint It All Red (Mindf*ck, #5)",S.T. Abby,4.55,"297,004",2016,dark
"There Are No Saints (Sinners, #1)",Sophie Lark,3.79,"116,754",2021,dark
"Seduced in the Dark (The Dark Duet, #2)",C.J. Roberts,4.27,"56,413",2012,dark
"Hideaway (Devil's Night, #2)",Penelope Douglas,4.00,"206,114",2017,dark
"Kill Switch (Devil's Night, #3)",Penelope Douglas,4.30,"177,736",2019,dark
"The Never King (Vicious Lost Boys, #1)",Nikki St. Crowe,3.67,"203,427",2022,dark
"It Ain't Me, Babe (Hades Hangmen, #1)",Tillie Cole,4.04,"55,827",2014,dark
"King (King, #1)",T.M. Frazier,4.13,"48,536",2015,dark
"Consequences (Consequences, #1)",Aleatha Romig,3.92,"43,245",2011,dark
"Little Stranger (The Web of Silence Duet, #1)",Leigh Rivers,3.75,"154,832",2023,dark
"The Maddest Obsession (Made, #2)",Danielle Lori,4.24,"227,007",2019,dark
"Debt Inheritance (Indebted, #1)",Pepper Winters,3.76,"27,208",2014,dark
"Raw (RAW Family, #1)",Belle Aurora,4.12,"42,685",2014,dark
Debt (ebook),Nina G. Jones,4.03,"17,969",2014,dark
"Deviant King (Royal Elite, #1)",Rina Kent,3.90,"122,022",2019,dark
Nocticadia (Kindle Edition),Keri Lake,4.20,"138,614",2023,dark
My Dark Vanessa (Hardcover),Kate Elizabeth Russell,4.10,"414,088",2020,dark
Gone Girl (Paperback),Gillian Flynn,4.14,"3,402,833",2012,dark
"The Darkest Temptation (Made, #3)",Danielle Lori,4.03,"164,756",2020,dark
"God of Wrath (Legacy of Gods, #3)",Rina Kent,4.17,"149,508",2022,dark
Credence (Paperback),Penelope Douglas,3.68,"565,586",2020,dark
"Monster in His Eyes (Monster in His Eyes, #1)",J.M. Darhower,4.06,"36,755",2014,dark
"Leather & Lark (The Ruinous Love Trilogy, #2)",Brynne Weaver,4.00,"280,147",2024,dark
"Killing Sarai (In the Company of Killers, #1)",J.A. Redmerski,4.08,"32,723",2013,dark
"The Sinner (L.O.R.D.S., #2)",Shantel Tessier,4.03,"157,833",2022,dark
Gothikana (Kindle Edition),RuNyx,3.76,"114,432",2021,dark
,,,,,dark
,,,,,dark
"The Cruel Prince (The Folk of the Air, #1)",Holly Black,4.01,"1,680,418",2018,enemies-to-lovers
"Fourth Wing (The Empyrean, #1)",Rebecca Yarros,4.57,"3,341,877",2023,enemies-to-lovers
The Hating Game (Paperback),Sally  Thorne,3.86,"818,686",2016,enemies-to-lovers
"The Unhoneymooners (Unhoneymooners, #1)",Christina Lauren,3.90,"1,097,639",2019,enemies-to-lovers
"Twisted Hate (Twisted, #3)",Ana Huang,3.95,"770,337",2022,enemies-to-lovers
"The Spanish Love Deception (Love Deception, #1)",Elena  Armas,3.80,"796,566",2021,enemies-to-lovers
"The Wicked King (The Folk of the Air, #2)",Holly Black,4.27,"1,042,338",2019,enemies-to-lovers
"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,4.64,"3,082,673",2016,enemies-to-lovers
"The Queen of Nothing (The Folk of the Air, #3)",Holly Black,4.34,"939,618",2019,enemies-to-lovers
